Date,Open,High,Low,Close,Adj Close,Volume,CloseLong,CloseShort,OpenLong,OpenShort,HighLong,HighShort,LowLong,LowShort
26/11/2021,82.578003,82.578003,80.575996,82.542999,82.542999,0,50,50,36,64,50,65,35,50
28/11/2021,#N/A,,,,,,52,48,50,50,52,52,48,48
29/11/2021,81.195999,81.377998,80.683998,81.219002,81.219002,0,52,48,50,50,54,51,49,46
30/11/2021,81.330002,81.369003,80.184998,81.318001,81.318001,0,52,48,51,49,53,50,50,47
01/12/2021,80.720001,81.472,80.435997,80.725998,80.725998,0,57,43,52,48,57,51,49,43
02/12/2021,80.217003,80.541,79.919998,80.233002,80.233002,0,56,44,58,42,58,48,52,42
03/12/2021,80.094002,80.193001,79.120003,80.102997,80.102997,0,59,41,55,45,59,46,54,41
05/12/2021,#N/A,,,,,,61,39,59,41,61,41,59,39
06/12/2021,79.287003,79.968002,79.093002,79.322998,79.322998,0,52,48,60,40,61,48,52,39
07/12/2021,79.996002,80.916,79.839996,79.975998,79.975998,0,56,44,50,50,57,50,50,43
08/12/2021,80.840309,81.609001,80.676003,80.855003,80.855003,0,51,49,55,45,58,49,51,42
09/12/2021,81.5,81.660004,80.929001,81.495003,81.495003,0,48,52,52,48,53,56,44,47
10/12/2021,81.094002,81.530998,80.837997,81.063004,81.063004,0,50,50,47,53,51,54,46,49
12/12/2021,#N/A,,,,,,51,49,50,50,51,50,50,49
13/12/2021,81.333,81.488998,80.709999,81.328003,81.328003,0,44,56,51,49,52,56,44,48
14/12/2021,81.003998,81.148003,80.488998,80.970001,80.970001,0,43,57,44,56,46,57,43,54
15/12/2021,80.809998,81.394997,80.769997,80.801003,80.801003,0,53,47,43,57,53,57,43,47
16/12/2021,81.820999,82.427002,81.529999,81.797997,81.797997,0,52,48,54,46,56,48,52,44
17/12/2021,81.579002,81.731003,80.934998,81.552002,81.552002,0,54,46,52,48,55,49,51,45
19/12/2021,#N/A,,,,,,54,46,54,46,54,46,54,46
20/12/2021,80.835999,80.942001,80.285004,80.778999,80.778999,0,52,48,54,46,54,52,48,46
21/12/2021,80.825996,81.490997,80.649002,80.807999,80.807999,0,50,50,53,47,57,50,50,43
22/12/2021,81.495003,82.403999,81.239998,81.476997,81.476997,0,42,58,50,50,52,59,41,48
23/12/2021,82.310997,82.877998,82.129997,82.282997,82.282997,0,45,55,42,58,48,58,42,52
24/12/2021,82.767998,82.869003,82.480003,82.780998,82.780998,0,43,57,45,55,46,58,42,54
26/12/2021,#N/A,,,,,,44,56,43,57,44,57,43,56
27/12/2021,82.633003,83.195999,82.620003,82.663002,82.663002,0,42,58,44,56,45,58,42,55
28/12/2021,83.049004,83.429001,82.879997,83.057999,83.057999,0,41,59,42,58,47,61,39,53
29/12/2021,83,83.492996,82.799004,82.989998,82.989998,0,42,58,42,58,44,60,40,56
30/12/2021,83.43,83.747002,83.339996,83.432999,83.432999,0,40,60,43,57,45,60,40,55
31/12/2021,83.410004,83.738998,83.379997,83.412003,83.412003,0,37,63,40,60,42,63,37,58
02/01/2022,#N/A,,,,,,38,62,37,63,38,63,37,62
03/01/2022,83.676003,83.859001,82.853996,83.677002,83.677002,0,38,62,38,62,39,67,33,61
04/01/2022,82.992996,84.167999,82.941002,82.983002,82.983002,0,37,63,39,61,39,67,33,61
05/01/2022,84.112,84.207001,83.759003,84.094002,84.094002,0,37,63,37,63,43,65,35,57
06/01/2022,83.849998,83.876999,82.702003,83.848999,83.848999,0,40,60,36,64,40,69,31,60
07/01/2022,82.999001,83.218002,82.632004,82.987,82.987,0,38,62,41,59,42,64,36,58
09/01/2022,#N/A,,,,,,38,62,38,62,38,63,37,62
10/01/2022,82.987999,83.357002,82.343002,82.990997,82.990997,0,41,59,40,60,45,62,38,55
11/01/2022,82.789001,83.064003,82.581001,82.768997,82.768997,0,40,60,43,57,43,64,36,57
12/01/2022,83.139999,83.658997,82.974998,83.152,83.152,0,41,59,41,59,43,62,38,57
13/01/2022,83.502998,83.741997,83.175003,83.501999,83.501999,0,40,60,40,60,43,62,38,57
14/01/2022,83.069,83.096001,82.108002,83.091003,83.091003,0,42,58,36,64,42,64,36,58
16/01/2022,#N/A,,,,,,44,56,42,58,44,58,42,56
17/01/2022,82.475998,82.753998,82.349998,82.480003,82.480003,0,42,58,43,57,45,58,42,55
18/01/2022,82.624001,82.949997,82.210999,82.611,82.611,0,43,57,42,58,43,65,35,57
19/01/2022,82.360001,82.778,82.078003,82.332001,82.332001,0,39,61,44,56,45,61,39,55
20/01/2022,82.515999,82.960999,82.492996,82.508003,82.508003,0,38,62,40,60,42,63,37,58
21/01/2022,82.237,82.237,81.635002,82.260002,82.260002,0,42,58,39,61,44,61,39,56
23/01/2022,#N/A,,,,,,43,57,42,58,43,58,42,57
24/01/2022,81.758003,81.818001,80.741997,81.777,81.777,0,47,53,44,56,47,61,39,53
25/01/2022,81.577003,81.763,81.063004,81.567001,81.567001,0,46,54,48,52,48,57,43,52
26/01/2022,81.528,81.978996,81.366997,81.529999,81.529999,0,42,58,47,53,48,58,42,52
27/01/2022,81.695999,81.75,80.989998,81.692001,81.692001,0,48,52,44,56,49,59,41,51
28/01/2022,81.169998,81.331001,80.502998,81.147003,81.147003,0,51,49,49,51,51,54,46,49
30/01/2022,#N/A,,,,,,50,50,51,49,51,50,50,49
31/01/2022,80.594002,81.615997,80.569,80.635002,80.635002,0,44,56,51,49,52,58,42,48
01/02/2022,81.360001,81.669998,80.900002,81.369003,81.369003,0,50,50,45,55,51,57,43,49
02/02/2022,81.836998,81.961998,81.387001,81.842003,81.842003,0,45,55,49,51,49,58,42,51
03/02/2022,81.433998,82.278,81.379997,81.445999,81.445999,0,45,55,43,57,48,57,43,52
04/02/2022,82.110001,82.200996,81.304001,82.106003,82.106003,0,48,52,45,55,49,57,43,51
06/02/2022,#N/A,,,,,,49,51,48,52,49,52,48,51
07/02/2022,81.583,81.940002,81.417999,81.569,81.569,0,44,56,49,51,52,56,44,48
08/02/2022,82.014999,82.468002,81.998001,82.010002,82.010002,0,48,52,45,55,50,55,45,50
09/02/2022,82.560997,83.036003,82.453003,82.551003,82.551003,0,43,57,49,51,49,57,43,51
10/02/2022,82.960999,83.948997,82.709999,82.967003,82.967003,0,40,60,43,57,46,64,36,54
11/02/2022,83.107002,83.228996,82.528999,83.104935,83.104935,0,41,59,41,59,42,64,36,58
13/02/2022,#N/A,,,,,,43,57,41,59,43,59,41,57
14/02/2022,82.571999,82.571999,81.551003,82.573997,82.573997,0,41,59,42,58,44,62,38,56
15/02/2022,82.411003,82.720001,81.891998,82.399002,82.399002,0,46,54,42,58,46,62,38,54
16/02/2022,82.663002,83.125,82.625,82.635002,82.635002,0,40,60,47,53,49,60,40,51
17/02/2022,82.994003,83.330002,82.360001,83.013,83.013,0,40,60,41,59,43,62,38,57
18/02/2022,82.543999,83.290001,82.417999,82.567001,82.567001,0,40,60,41,59,41,62,38,59
20/02/2022,#N/A,,,,,,39,61,40,60,40,61,39,60
21/02/2022,82.442001,83.045998,82.361,82.440002,82.440002,0,38,62,39,61,41,64,36,59
22/02/2022,82.335999,83.176003,82.237999,82.335999,82.335999,0,35,65,37,63,38,67,33,62
23/02/2022,83.184998,83.810997,83.045998,83.179001,83.179001,0,30,70,35,65,40,70,30,60
24/02/2022,83.057999,83.057999,82.027,83.045998,83.045998,0,34,66,30,70,40,70,30,60
25/02/2022,82.728996,83.612999,82.480003,82.749001,82.749001,0,23,77,33,67,33,77,23,67
27/02/2022,#N/A,,,,,,23,77,23,77,23,77,23,77
28/02/2022,82.997002,83.685997,82.765999,83.049004,83.049004,0,26,74,33,67,33,76,24,67
01/03/2022,83.533997,83.858002,83.239998,83.538002,83.538002,0,27,73,27,73,28,75,25,72
02/03/2022,83.358002,84.223999,83.297997,83.361,83.361,0,25,75,27,73,30,75,25,70
03/03/2022,84.219002,84.926003,84.125,84.247002,84.247002,0,28,72,25,75,30,75,25,70
04/03/2022,84.712997,85.138,84.200996,84.718002,84.718002,0,25,75,30,70,30,75,25,70
06/03/2022,#N/A,,,,,,26,74,25,75,26,75,25,74
07/03/2022,84.949997,85.448997,84.469002,84.988998,84.988998,0,29,71,27,73,29,76,24,71
08/03/2022,84.554001,84.830002,83.816002,84.550003,84.550003,0,28,72,29,71,30,76,24,70
09/03/2022,84.141998,84.973999,84.13765,84.080002,84.080002,0,30,70,29,71,38,72,28,62
10/03/2022,84.834,85.476997,84.591003,84.806999,84.806999,0,29,71,31,69,33,73,27,67
11/03/2022,85.554001,85.870003,85.267998,85.575996,85.575996,0,22,78,30,70,30,78,22,70
13/03/2022,#N/A,,,,,,23,77,22,78,23,78,22,77
14/03/2022,85.720001,85.726997,85.230003,85.747002,85.747002,0,23,77,23,77,23,79,21,77
15/03/2022,85.099998,85.350998,84.601997,85.097,85.097,0,26,74,23,77,27,78,22,73
16/03/2022,85.065002,86.053001,85.014999,85.064003,85.064003,0,25,75,25,75,31,78,22,69
17/03/2022,86.664001,87.513,86.502998,86.639,86.639,0,22,78,25,75,27,78,22,73
18/03/2022,87.461998,88.350998,87.461998,87.454002,87.454002,0,21,79,23,77,25,79,21,75
20/03/2022,#N/A,,,,,,23,77,21,79,23,79,21,77
21/03/2022,88.365997,88.492996,87.834999,88.365997,88.365997,0,21,79,24,76,25,82,18,75
22/03/2022,88.427002,89.915001,88.402,88.445999,88.445999,0,21,79,22,78,26,79,21,74
23/03/2022,90.503998,90.766998,89.953003,90.541,90.541,0,20,80,23,77,24,81,19,76
24/03/2022,90.875,91.757004,90.547997,90.828003,90.828003,0,27,73,22,78,28,79,21,72
25/03/2022,91.887001,91.887001,91.080002,91.896004,91.896004,0,21,79,25,75,26,79,21,74
27/03/2022,#N/A,,,,,,23,77,21,79,23,79,21,77
28/03/2022,91.907997,94.286003,91.705002,91.907997,91.907997,0,30,70,24,76,31,79,21,69
29/03/2022,92.737,92.994003,91.469002,92.737,92.737,0,24,76,28,72,28,81,19,72
30/03/2022,92.523003,92.419998,91.138,92.523003,92.523003,0,19,81,23,77,23,82,18,77
31/03/2022,91.531998,91.931999,90.776001,91.531998,91.531998,0,16,84,19,81,20,85,15,80
01/04/2022,91.190002,92.314003,91.172997,91.190002,91.190002,0,22,78,16,84,25,84,16,75
03/04/2022,#N/A,,,,,,24,76,22,78,24,78,22,76
04/04/2022,91.782997,92.716003,91.592003,91.782997,91.782997,0,32,68,24,76,33,76,24,67
05/04/2022,92.620003,94.144997,92.300003,92.620003,92.620003,0,26,74,33,67,33,75,25,67
06/04/2022,93.796997,94.120003,93.226997,93.796997,93.796997,0,23,77,29,71,30,79,21,70
07/04/2022,92.850998,92.885002,92.411003,92.850998,92.850998,0,26,74,23,77,26,79,21,74
08/04/2022,92.795998,92.891998,92.468002,92.809998,92.809998,0,26,74,28,72,28,75,25,72
10/04/2022,#N/A,,,,,,24,76,26,74,26,76,24,74
11/04/2022,92.614998,93.598,92.519997,92.614998,92.614998,0,33,67,24,76,35,76,24,65
12/04/2022,93.031998,93.799004,92.857002,93.031998,93.031998,0,32,68,32,68,38,70,30,62
13/04/2022,93.477997,93.850998,93.030998,93.477997,93.477997,0,28,72,32,68,33,75,25,67
14/04/2022,93.418999,93.653999,93.141998,93.418999,93.418999,0,27,73,29,71,29,75,25,71
15/04/2022,93.471001,93.763,93.388,93.471001,93.471001,0,26,74,27,73,28,74,26,72
17/04/2022,#N/A,,,,,,27,73,26,74,27,74,26,73
18/04/2022,93.607002,93.690002,93.080002,93.607002,93.607002,0,29,71,26,74,29,75,25,71
19/04/2022,93.507004,95.008003,93.480003,93.507004,93.507004,0,35,65,29,71,35,73,27,65
20/04/2022,95.620003,95.730003,94.767998,95.620003,95.620003,0,33,67,36,64,37,68,32,63
21/04/2022,95.296997,95.583,94.809998,95.296997,95.296997,0,32,68,33,67,34,69,31,66
22/04/2022,94.514,94.704002,93.050003,94.514,94.514,0,30,70,32,68,32,71,29,68
24/04/2022,#N/A,,,,,,31,69,30,70,31,70,30,69
25/04/2022,93.035004,93.012001,91.099998,93.035004,93.035004,0,28,72,28,72,29,75,25,71
26/04/2022,91.697998,92.581001,90.917,91.697998,91.697998,0,32,68,29,71,35,71,29,65
27/04/2022,90.901001,91.970001,90.809998,90.901001,90.901001,0,32,68,31,69,35,70,30,65
28/04/2022,91.481003,93.489998,91.330002,91.481003,91.481003,0,34,66,33,67,37,68,32,63
29/04/2022,92.959999,93.427002,91.975998,92.959999,92.959999,0,28,72,36,64,39,73,27,61
01/05/2022,#N/A,,,,,,30,70,28,72,30,72,28,70
02/05/2022,91.848999,92,91.510002,91.848999,91.848999,0,29,71,29,71,31,72,28,69
03/05/2022,91.713997,92.850998,91.75,91.713997,91.713997,0,41,59,32,68,41,68,32,59
04/05/2022,92.414001,92.891998,92.269997,92.414001,92.414001,0,36,64,40,60,42,65,35,58
05/05/2022,93.722,93.761002,92.453003,93.722,93.722,0,35,65,35,65,38,67,33,62
06/05/2022,92.793999,92.970001,92.060997,92.793999,92.793999,0,32,68,36,64,38,70,30,62
08/05/2022,#N/A,,,,,,32,68,32,68,32,68,32,68
09/05/2022,92.103996,92.128998,90.714996,92.103996,92.103996,0,32,68,31,69,33,72,28,67
10/05/2022,90.702003,91.130997,89.790001,90.702003,90.702003,0,29,71,28,72,32,73,27,68
11/05/2022,90.387001,91.741997,90.331001,90.387001,90.387001,0,32,68,29,71,36,71,29,64
12/05/2022,89.935997,90.277,87.344002,89.935997,89.935997,0,34,66,29,71,34,72,28,66
13/05/2022,88.358002,89.584,88.194,88.358002,88.358002,0,34,66,39,61,39,66,34,61
15/05/2022,#N/A,,,,,,36,64,34,66,36,67,33,64
16/05/2022,89.893997,90.115997,88.514,89.893997,89.893997,0,31,69,37,63,37,72,28,63
17/05/2022,89.886002,91.156998,89.877998,89.886002,89.886002,0,37,63,32,68,37,69,31,63
18/05/2022,91,91.153999,89.600998,91,91,0,30,70,37,63,37,72,28,63
19/05/2022,89.008003,90.523003,89.051003,89.008003,89.008003,0,31,69,30,70,31,73,27,69
20/05/2022,90.009003,90.68,89.379997,90.009003,90.009003,0,31,69,30,70,34,73,27,66
22/05/2022,#N/A,,,,,,32,68,31,69,32,70,30,68
23/05/2022,90.325996,91.001999,90.073997,90.325996,90.325996,0,33,67,32,68,34,70,30,66
24/05/2022,90.625,90.709,89.277,90.625,90.625,0,30,70,32,68,33,72,28,67
25/05/2022,90.040001,90.487999,89.306999,90.040001,90.040001,0,31,69,30,70,31,72,28,69
26/05/2022,90.139999,90.619003,89.646004,90.139999,90.139999,0,33,67,31,69,33,72,28,67
27/05/2022,90.179001,90.971001,90.040001,90.179001,90.179001,0,28,72,33,67,33,73,27,67
29/05/2022,#N/A,,,,,,30,70,28,72,30,72,28,70
30/05/2022,91.129997,91.842003,90.958,91.129997,91.129997,0,38,62,31,69,38,69,31,62
31/05/2022,91.93,92.408997,91.605003,91.93,91.93,0,37,63,38,62,38,66,34,62
01/06/2022,92.457001,93.565002,92.424004,92.457001,92.457001,0,35,65,38,62,41,66,34,59
02/06/2022,93.334,94.207001,92.844002,93.334,93.334,0,36,64,33,67,37,68,32,63
03/06/2022,94.396004,94.550003,94.115997,94.396004,94.396004,0,31,69,35,65,35,69,31,65
05/06/2022,#N/A,,,,,,31,69,31,69,31,69,31,69
06/06/2022,94.169998,94.836998,93.802002,94.169998,94.169998,0,35,65,29,71,37,74,26,63
07/06/2022,95.009003,96.002998,94.824997,95.009003,95.009003,0,32,68,35,65,36,70,30,64
08/06/2022,95.914001,96.862,95.742996,95.914001,95.914001,0,34,66,32,68,34,70,30,66
09/06/2022,96.598999,96.694,95.306,96.598999,96.598999,0,25,75,33,67,33,75,25,67
10/06/2022,95.379997,95.527,94.352997,95.379997,95.379997,0,21,79,22,78,27,81,19,73
12/06/2022,#N/A,,,,,,21,79,21,79,21,79,21,79
13/06/2022,94.606003,94.916,92.639,94.606003,94.606003,0,20,80,22,78,26,82,18,74
14/06/2022,93.171997,93.875,92.427002,93.171997,93.171997,0,25,75,19,81,25,83,17,75
15/06/2022,93.189003,93.599998,92.940002,93.189003,93.189003,0,33,67,26,74,33,75,25,67
16/06/2022,94.088997,94.535004,91.994003,94.088997,94.088997,0,33,67,37,63,38,73,27,62
17/06/2022,93.232002,94.508003,92.882004,93.232002,93.232002,0,31,69,32,68,35,72,28,65
19/06/2022,#N/A,,,,,,33,67,31,69,33,69,31,67
20/06/2022,94.033997,94.348,93.403,94.033997,94.033997,0,35,65,33,67,35,69,31,65
21/06/2022,94.139,95.209999,93.857002,94.139,94.139,0,40,60,36,64,45,64,36,55
22/06/2022,94.856003,94.899002,93.615997,94.856003,94.856003,0,37,63,40,60,40,68,32,60
23/06/2022,93.918999,94.150002,92.861,93.918999,93.918999,0,29,71,37,63,37,72,28,63
24/06/2022,93.079002,93.994003,92.801003,93.079002,93.079002,0,30,70,30,70,32,74,26,68
26/06/2022,#N/A,,,,,,31,69,30,70,31,70,30,69
27/06/2022,93.768997,93.934998,93.004997,93.768997,93.768997,0,28,72,29,71,31,72,28,69
28/06/2022,93.748001,94.668999,93.481003,93.748001,93.748001,0,33,67,31,69,33,72,28,67
29/06/2022,93.929001,94.268997,93.478996,93.929001,93.929001,0,32,68,33,67,35,68,32,65
30/06/2022,93.963997,94.271004,93.349998,93.963997,93.963997,0,34,66,32,68,34,71,29,66
01/07/2022,93.657997,93.779999,91.420998,93.657997,93.657997,0,32,68,35,65,38,69,31,62
03/07/2022,#N/A,,,,,,33,67,32,68,33,68,32,67
04/07/2022,92.032997,93.275002,91.600998,92.032997,92.032997,0,35,65,33,67,36,69,31,64
05/07/2022,93.363998,93.971001,91.739998,93.363998,93.363998,0,33,67,35,65,35,71,29,65
06/07/2022,92.049004,92.499001,91.541,92.049004,92.049004,0,33,67,34,66,35,68,32,65
07/07/2022,92.232002,93.124001,91.907997,92.232002,92.232002,0,33,67,33,67,41,67,33,59
08/07/2022,93.064003,93.469002,92.345001,93.064003,93.064003,0,32,68,34,66,35,69,31,65
10/07/2022,#N/A,,,,,,36,64,32,68,36,68,32,64
11/07/2022,93.279999,93.671997,92.314003,93.279999,93.279999,0,34,66,35,65,36,70,30,64
12/07/2022,92.635002,92.639999,91.962997,92.635002,92.635002,0,31,69,32,68,32,71,29,68
13/07/2022,92.246002,93.362,92.246002,92.246002,92.246002,0,32,68,32,68,37,68,32,63
14/07/2022,92.651001,94.236,92.670998,92.651001,92.651001,0,39,61,33,67,39,69,31,61
15/07/2022,93.861,94.25,93.188004,93.861,93.861,0,36,64,38,62,39,65,35,61
17/07/2022,#N/A,,,,,,39,61,36,64,39,64,36,61
18/07/2022,94.223,94.625999,93.946999,94.223,94.223,0,41,59,38,62,44,62,38,56
19/07/2022,94.127998,95.222,94.004997,94.127998,94.127998,0,36,64,41,59,42,64,36,58
20/07/2022,95.306,95.746002,95.077003,95.306,95.306,0,35,65,37,63,38,67,33,62
21/07/2022,95.311996,95.584,95.004997,95.311996,95.311996,0,31,69,36,64,38,69,31,62
22/07/2022,94.906998,95.373001,94.495003,94.906998,94.906998,0,29,71,31,69,31,73,27,69
24/07/2022,#N/A,,,,,,29,71,29,71,29,72,28,71
25/07/2022,94.099998,95.167999,93.916,94.099998,94.099998,0,25,75,29,71,32,75,25,68
26/07/2022,94.824997,95.264999,94.572998,94.824997,94.824997,0,32,68,26,74,32,74,26,68
27/07/2022,95.150002,95.32,94.758003,95.150002,95.150002,0,30,70,32,68,33,70,30,67
28/07/2022,95.199997,95.308998,93.623001,95.199997,95.199997,0,33,67,31,69,33,71,29,67
29/07/2022,94.042999,94.247002,92.887001,94.042999,94.042999,0,29,71,32,68,32,73,27,68
31/07/2022,#N/A,,,,,,31,69,29,71,31,71,29,69
01/08/2022,92.990997,93.306,92.313004,92.990997,92.990997,0,34,66,29,71,34,71,29,66
02/08/2022,92.408997,92.370003,90.533997,92.408997,92.408997,0,35,65,32,68,39,68,32,61
03/08/2022,91.903,92.992996,91.750999,91.903,91.903,0,34,66,37,63,39,67,33,61
04/08/2022,92.93,93.797997,92.539001,92.93,92.93,0,32,68,33,67,38,68,32,62
05/08/2022,92.290001,93.605003,92.280998,92.290001,92.290001,0,28,72,32,68,36,72,28,64
07/08/2022,#N/A,,,,,,29,71,28,72,29,72,28,71
08/08/2022,93.213997,94.388,93.223953,93.213997,93.213997,0,31,69,31,69,37,70,30,63
09/08/2022,94.217003,94.383003,93.908997,94.217003,94.217003,0,30,70,30,70,31,72,28,69
10/08/2022,94.018578,94.165001,93.582001,94.018578,94.018578,0,34,66,29,71,34,72,28,66
11/08/2022,94.080002,94.501999,93.869003,94.080002,94.080002,0,36,64,34,66,37,68,32,63
12/08/2022,94.457001,95.003998,94.459999,94.457001,94.457001,0,28,72,37,63,37,72,28,63
14/08/2022,#N/A,,,,,,29,71,28,72,29,72,28,71
15/08/2022,94.848,94.928001,93.073997,94.848,94.848,0,27,73,29,71,31,75,25,69
16/08/2022,93.460999,94.462997,93.089996,93.460999,93.460999,0,25,75,27,73,30,76,24,70
17/08/2022,94.258766,94.362,93.566002,94.258766,94.258766,0,27,73,26,74,27,78,22,73
18/08/2022,93.517998,94.179001,93.379997,93.517998,93.517998,0,25,75,26,74,27,76,24,73
19/08/2022,93.846001,94.522003,93.862,93.846001,93.846001,0,22,78,26,74,27,78,22,73
21/08/2022,#N/A,,,,,,23,77,22,78,23,78,22,77
22/08/2022,94.235001,94.828003,94.151001,94.235001,94.235001,0,27,73,25,75,28,76,24,72
23/08/2022,94.624001,94.806,94.105003,94.624001,94.624001,0,26,74,27,73,28,76,24,72
24/08/2022,94.610001,94.732002,94.202003,94.610001,94.610001,0,27,73,27,73,29,73,27,71
25/08/2022,94.675003,95.431999,94.676003,94.675003,94.675003,0,26,74,28,72,28,74,26,72
26/08/2022,95.099998,95.705002,94.828003,95.099998,95.099998,0,23,77,26,74,28,77,23,72
28/08/2022,#N/A,,,,,,25,75,23,77,25,77,23,75
29/08/2022,94.860001,95.866997,94.823997,94.860001,94.860001,0,24,76,24,76,26,77,23,74
30/08/2022,95.727997,96.184998,95.259003,95.727997,95.727997,0,29,71,24,76,29,77,23,71
31/08/2022,95.130997,95.569,94.907997,95.130997,95.130997,0,30,70,30,70,33,70,30,67
01/09/2022,95.108002,95.316002,94.783997,95.108002,95.108002,0,29,71,30,70,32,73,27,68
02/09/2022,95.184998,96.025002,95.030998,95.184998,95.184998,0,25,75,29,71,33,75,25,67
04/09/2022,#N/A,,,,,,26,74,25,75,26,76,24,74
05/09/2022,95.385002,95.587997,95.042,95.385002,95.385002,0,37,63,26,74,37,74,26,63
06/09/2022,95.648003,96.481003,95.553001,95.648003,95.648003,0,30,70,37,63,37,70,30,63
07/09/2022,96.335999,97.333,96.013,96.335999,96.335999,0,34,66,30,70,35,71,29,65
08/09/2022,97.299004,97.448997,96.663002,97.299004,97.299004,0,31,69,33,67,33,72,28,67
09/09/2022,97.320999,97.900002,97.065002,97.320999,97.320999,0,27,73,31,69,32,73,27,68
11/09/2022,#N/A,,,,,,27,73,27,73,27,73,27,73
12/09/2022,97.615997,98.357002,97.435997,97.615997,97.615997,0,30,70,28,72,32,72,28,68
13/09/2022,98.287003,98.431,97.544998,98.287003,98.287003,0,29,71,30,70,33,73,27,67
14/09/2022,97.362,97.532997,95.991997,97.362,97.362,0,32,68,28,72,32,76,24,68
15/09/2022,96.496002,97.124001,96.169998,96.496002,96.496002,0,28,72,30,70,35,73,27,65
16/09/2022,95.865997,96.410004,95.550003,95.865997,95.865997,0,28,72,27,73,30,74,26,70
18/09/2022,#N/A,,,,,,30,70,28,72,30,72,28,70
19/09/2022,96.012001,96.164001,95.719002,96.012001,96.012001,0,36,64,30,70,36,71,29,64
20/09/2022,96.389,96.549004,96.031998,96.389,96.389,0,35,65,36,64,38,66,34,62
21/09/2022,96.110001,96.247002,95.526001,96.110001,96.110001,0,29,71,35,65,36,71,29,64
22/09/2022,95.391998,96.378998,93.570999,95.391998,95.391998,0,29,71,28,72,32,74,26,68
23/09/2022,94.549004,94.671997,93.602997,94.549004,94.549004,0,30,70,29,71,30,73,27,70
25/09/2022,#N/A,,,,,,32,68,30,70,32,70,30,68
26/09/2022,93.713997,94.004997,93.283997,93.713997,93.713997,0,34,66,34,66,37,67,33,63
27/09/2022,93.5,93.958,93.25,93.5,93.5,0,34,66,35,65,37,67,33,63
28/09/2022,93.102997,93.875999,92.128998,93.102997,93.102997,0,35,65,34,66,35,70,30,65
29/09/2022,93.917999,94.023003,93.126999,93.917999,93.917999,0,36,64,36,64,37,66,34,63
30/09/2022,94.005997,94.206001,93.025002,94.005997,94.005997,0,38,62,38,62,41,65,35,59
02/10/2022,#N/A,,,,,,39,61,38,62,39,62,38,61
03/10/2022,92.957001,94.084,92.836998,92.957001,92.957001,0,37,63,39,61,41,63,37,59
04/10/2022,93.956001,94.665001,93.432999,93.956001,93.956001,0,38,62,37,63,42,64,36,58
05/10/2022,93.654999,94.013,92.932999,93.654999,93.654999,0,39,61,38,62,40,63,37,60
06/10/2022,94.059998,94.522003,92.648003,94.059998,94.059998,0,40,60,41,59,41,64,36,59
07/10/2022,93.026001,93.221001,92.561996,93.026001,93.026001,0,39,61,40,60,42,61,39,58
09/10/2022,#N/A,,,,,,39,61,39,61,39,61,39,61
10/10/2022,92.5,92.75,91.497002,92.5,92.5,0,41,59,39,61,41,61,39,59
11/10/2022,91.690002,92.117996,91.084,91.690002,91.690002,0,41,59,41,59,42,63,37,58
12/10/2022,91.397003,92.185997,91.293999,91.397003,91.397003,0,40,60,41,59,44,61,39,56
13/10/2022,92.102997,92.459999,90.961998,92.102997,92.102997,0,45,55,40,60,45,60,40,55
14/10/2022,92.759003,93.542,92.262001,92.759003,92.759003,0,42,58,45,55,45,59,41,55
16/10/2022,#N/A,,,,,,42,58,42,58,42,59,41,58
17/10/2022,92.476997,93.855003,92.277,92.476997,92.476997,0,39,61,43,57,45,63,37,55
18/10/2022,93.810997,94.394997,93.169998,93.810997,93.810997,0,39,61,39,61,42,62,38,58
19/10/2022,94.247002,94.385002,93.900002,94.247002,94.247002,0,37,63,38,62,40,63,37,60
20/10/2022,93.834,95.129997,93.379997,93.834,93.834,0,39,61,38,62,40,67,33,60
21/10/2022,94.223,95.723,93.127998,94.223,94.223,0,35,65,39,61,45,67,33,55
23/10/2022,#N/A,,,,,,36,64,35,65,36,65,35,64
24/10/2022,94.18,94.797997,93.595001,94.18,94.18,0,36,64,34,66,37,67,33,63
25/10/2022,94.234001,94.652,93.876999,94.234001,94.234001,0,34,66,37,63,38,67,33,62
